fondo_reserva,periodo,millones_euros
fondo_reserva,2000,604
fondo_reserva,2001,2433
fondo_reserva,2002,6169
fondo_reserva,2003,12025
fondo_reserva,2004,19330
fondo_reserva,2005,27185
fondo_reserva,2006,35879
fondo_reserva,2007,45716
fondo_reserva,2008,57223
fondo_reserva,2009,60022
fondo_reserva,2010,64375
fondo_reserva,2011,66815
fondo_reserva,2012,63008
fondo_reserva,2013,53744
fondo_reserva,2014,41634
fondo_reserva,2015,32481
fondo_reserva,2016,15002
fondo_reserva,2017,8095
fondo_reserva,2018,5043
fondo_reserva,2019,2150
