Totales Territoriales;Periodo;Total
Total Nacional;2021;129
Total Nacional;2020;126
Total Nacional;2019;123
Total Nacional;2018;120
Total Nacional;2017;118
Total Nacional;2016;116
Total Nacional;2015;115
Total Nacional;2014;112
Total Nacional;2013;110
Total Nacional;2012;108
Total Nacional;2011;107
Total Nacional;2010;106
Total Nacional;2009;105
Total Nacional;2008;105
Total Nacional;2007;106
Total Nacional;2006;107
Total Nacional;2005;107
Total Nacional;2004;108
Total Nacional;2003;109
Total Nacional;2002;109
Total Nacional;2001;106
Total Nacional;2000;103
Total Nacional;1999;100
Total Nacional;1998;95
Total Nacional;1997;91
Total Nacional;1996;86
Total Nacional;1995;81
Total Nacional;1994;77
Total Nacional;1993;73
Total Nacional;1992;69
Total Nacional;1991;65
Total Nacional;1990;61
Total Nacional;1989;58
Total Nacional;1988;54
Total Nacional;1987;51
Total Nacional;1986;49
Total Nacional;1985;47
Total Nacional;1984;45
Total Nacional;1983;44
Total Nacional;1982;42
Total Nacional;1981;41
Total Nacional;1980;39
Total Nacional;1979;38
Total Nacional;1978;37
Total Nacional;1977;37
Total Nacional;1976;36
Total Nacional;1975;35
