SERIE,Pensión máxima,Pensión mínima
2020,37566.76171875,11807.599609375
2019,37231.73828125,11701.2001953125
2018,36121.8203125,11044.599609375
2017,36031.80078125,11016.599609375
2016,35941.921875,10988.599609375
2015,35852.3203125,10960.599609375
2014,35762.859375,10932.599609375
2013,35673.6796875,10904.599609375
2012,35320.4609375,10690.400390625
2011,34970.73828125,10584
2010,34970.73828125,10284.400390625
2009,34184.5,9746.66015625
2008,33514.1796875,9258.759765625
2007,32728.5,8659.5595703125
2006,31439.380859375,7966.97998046875
2005,30642.640625,7436.93994140625
2004,29634.919921875,6888.27978515625
2003,28632.66015625,6655.31982421875
2002,27852.720703125,6474.02001953125
2001,26807.19921875,6230.97998046875
2000,26102.26953125,6067.0400390625
1999,25074,5691.33984375
1998,24415,5541.56982421875
1997,23912.900390625,5427.56005859375
1996,23306.91015625,5289.990234375
1995,22518.759765625,5110.77001953125
1994,21569.720703125,4895.35986328125
1993,20660.66015625,4688.7998046875
1992,19658.109375,4461.18994140625
1991,18598.009765625,4220.5498046875
1990,17430.119140625,3955.5
