Provincias,Periodos,Tasa_Actividad
Total Nacional,2020,57.435
Total Nacional,2019,58.6375
Total Nacional,2018,58.65
Total Nacional,2017,58.835
Total Nacional,2016,59.2325
Total Nacional,2015,59.5425
Total Nacional,2014,59.5975
Total Nacional,2013,60.02
Total Nacional,2012,60.3975
Total Nacional,2011,60.3325
Total Nacional,2010,60.28
Total Nacional,2009,60.1825
Total Nacional,2008,60.08
Total Nacional,2007,59.275
Total Nacional,2006,58.6375
Total Nacional,2005,57.795
Total Nacional,2004,56.71
Total Nacional,2003,55.8325
Total Nacional,2002,54.6025
