Provincias,Periodos,Tasa_Natalidad
Total Nacional,2020,7.15
Total Nacional,2019,7.62
Total Nacional,2018,7.94
Total Nacional,2017,8.41
Total Nacional,2016,8.8
Total Nacional,2015,9.02
Total Nacional,2014,9.17
Total Nacional,2013,9.11
Total Nacional,2012,9.69
Total Nacional,2011,10.07
Total Nacional,2010,10.42
Total Nacional,2009,10.65
Total Nacional,2008,11.28
Total Nacional,2007,10.86
Total Nacional,2006,10.85
Total Nacional,2005,10.65
Total Nacional,2004,10.57
Total Nacional,2003,10.44
Total Nacional,2002,10.08
Total Nacional,2001,9.94
Total Nacional,2000,9.78
Total Nacional,1999,9.39
Total Nacional,1998,9.06
Total Nacional,1997,9.2
Total Nacional,1996,9.07
Total Nacional,1995,9.15
Total Nacional,1994,9.35
Total Nacional,1993,9.8
Total Nacional,1992,10.13
Total Nacional,1991,10.16
Total Nacional,1990,10.32
Total Nacional,1989,10.51
Total Nacional,1988,10.79
Total Nacional,1987,11.02
Total Nacional,1986,11.36
Total Nacional,1985,11.85
Total Nacional,1984,12.34
Total Nacional,1983,12.71
Total Nacional,1982,13.57
Total Nacional,1981,14.1
Total Nacional,1980,15.22
Total Nacional,1979,16.17
Total Nacional,1978,17.25
Total Nacional,1977,17.96
Total Nacional,1976,18.73
Total Nacional,1975,18.7
